Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Release Code,Release,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"2","'004","Afghanistan","7005","Prevalence of unaffordability (PUA), percent","6121","Value","12U2024","December 2024 (Update)","%",,"O",,"O",,"O",,"O",,"O",,"O",,,,
"2","'004","Afghanistan","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","12U2024","December 2024 (Update)","million No",,"O",,"O",,"O",,"O",,"O",,"O",,,,
"3","'008","Albania","70041","Cost of a healthy diet (CoHD), LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d","160.41","E","164.71","E","169.51","E","175.63","E","182.48","E","203.92","E","223.17","E","230.79","E"
"3","'008","Albania","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day","3.04","E","3.13","E","3.32","E","3.4","E","3.49","E","4.14","E","4.58","E","4.77","E"
"3","'008","Albania","70071","Cost of starchy staples, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"24.81","E",,,,,,
"3","'008","Albania","70070","Cost of starchy staples, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.47","E",,,,,,
"3","'008","Albania","70081","Cost of animal source foods, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"59.08","E",,,,,,
"3","'008","Albania","70080","Cost of animal source foods, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"1.13","E",,,,,,
"3","'008","Albania","70091","Cost of legumes, nuts and seeds, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"21.57","E",,,,,,
"3","'008","Albania","70090","Cost of legumes, nuts and seeds, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.41","E",,,,,,
"3","'008","Albania","70101","Cost of vegetables, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"31.19","E",,,,,,
"3","'008","Albania","70100","Cost of vegetables, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.6","E",,,,,,
"3","'008","Albania","70111","Cost of fruits, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"40.1","E",,,,,,
"3","'008","Albania","70110","Cost of fruits, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.77","E",,,,,,
"3","'008","Albania","70121","Cost of oils and fats, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"5.72","E",,,,,,
"3","'008","Albania","70120","Cost of oils and fats, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.11","E",,,,,,
"3","'008","Albania","7005","Prevalence of unaffordability (PUA), percent","6121","Value","7S2025","July 2025 (SOFI report)","%","24.3","E","17.6","E","14.6","E","13.9","E","12.6","E","11.7","E","11.4","E","10.7","E"
"3","'008","Albania","7005","Prevalence of unaffordability (PUA), percent","6121","Value","12U2024","December 2024 (Update)","%","24.3","E","17.5","E","15.3","E","14.1","E","12.6","E","12.2","E",,,,
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","7S2025","July 2025 (SOFI report)","million No","0.7","E","0.5","E","0.4","E","0.4","E","0.4","E","0.3","E","0.3","E","0.3","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Value","12U2024","December 2024 (Update)","million No","0.7","E","0.5","E","0.4","E","0.4","E","0.4","E","0.3","E",,,,
"4","'012","Algeria","70041","Cost of a healthy diet (CoHD), LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d","155.33","E","160.56","E","159.7","E","160.01","E","176.08","E","199.7","E","226.23","E","233.64","E"
"4","'012","Algeria","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day","4.1","E","4.16","E","4.18","E","4.19","E","4.47","E","5.01","E","5.41","E","5.53","E"
"4","'012","Algeria","70071","Cost of starchy staples, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"21.89","E",,,,,,
"4","'012","Algeria","70070","Cost of starchy staples, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.56","E",,,,,,
"4","'012","Algeria","70081","Cost of animal source foods, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"53.59","E",,,,,,
"4","'012","Algeria","70080","Cost of animal source foods, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"1.36","E",,,,,,
"4","'012","Algeria","70091","Cost of legumes, nuts and seeds, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"23.01","E",,,,,,
"4","'012","Algeria","70090","Cost of legumes, nuts and seeds, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.58","E",,,,,,
"4","'012","Algeria","70101","Cost of vegetables, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"28.3","E",,,,,,
"4","'012","Algeria","70100","Cost of vegetables, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.72","E",,,,,,
"4","'012","Algeria","70111","Cost of fruits, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"43.35","E",,,,,,
"4","'012","Algeria","70110","Cost of fruits, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"1.1","E",,,,,,
"4","'012","Algeria","70121","Cost of oils and fats, LCU per person per day","6205","Value","7S2025","July 2025 (SOFI report)","LCU/cap/d",,,,,,,,,"5.94","E",,,,,,
"4","'012","Algeria","70120","Cost of oils and fats, PPP dollar per person per day","6226","Value","7S2025","July 2025 (SOFI report)","Int$ (PPP) per person per day",,,,,,,,,"0.15","E",,,,,,
"4","'012","Algeria","7005","Prevalence of unaffordability (PUA), percent","6121","Value","7S2025","July 2025 (SOFI report)","%","18.8","E","18.1","E","17.5","E","19.2","E","19.6","E","20.5","E","21.1","E","20.2","E"
"4","'012","Algeria","7005","Prevalence of unaffordability (PUA), percent","6121","Value","12U2024","December 2024 (Update)","%","18.5","E","17.8","E","17.1","E","18.9","E","19.3","E","20.2","E",,,,
